Dataset 1,,,,,Dataset 2,,,,
Fold,KNN,SVC,Mínima distancia,,Fold,KNN,SVC,Mínima distancia,
1,1,1,1,,1,1,1,0.4,
2,1,1,1,,2,1,1,0.342857143,
3,1,1,1,,3,1,1,0.485714286,
4,1,1,1,,4,1,1,0.428571429,
5,1,1,1,,5,1,1,0.257142857,
6,1,1,1,,6,1,1,0.457142857,
7,1,1,1,,7,1,1,0.342857143,
8,1,1,1,,8,1,1,0.457142857,
9,1,1,1,,9,1,1,0.485714286,
10,1,1,1,,10,1,1,0.457142857,
Prom,1,1,1,,Prom,1,1,0.442857143,
,,,,,,,,,
Dataset 3,,,,,,,,,
Fold,KNN,SVC,Mínima distancia,,,,,,
1,0.974,0.958,0.796,,,,,,
2,0.97,0.962,0.773,,,,,,
3,0.965,0.956,0.785,,,,,,
4,0.971,0.953,0.811,,,,,,
5,0.959,0.956,0.788,,,,,,
6,0.967,0.961,0.78,,,,,,
7,0.972,0.954,0.777,,,,,,
8,0.959,0.958,0.795,,,,,,
9,0.964,0.955,0.782,,,,,,
10,0.961,0.949,0.76,,,,,,
Prom,0.966,0.956,0.7835,,,,,,
